LATITUDE,LONGITUDE,address,name
38.1169529,13.3687926,"Piazza Marina, 46",Palazzo Galletti di S. Cataldo
38.1119601,13.3692452,"Via Lincoln, 71",Palazzo Jung
38.1165913,13.3686410,"Via Merlo, 2",Palazzo Mirto
38.1170093,13.3700429,"Via del IV Aprile, 2",Palazzo Palagonia
38.1122830,13.3636649,"Via Maqueda, 83",Palazzo Sant'Elia (Palazzo Celestri di Santa Croce)
38.1104004,13.3622947,"Via delle Pergole, 74",Palazzo Tarallo
38.1217732,13.3419946,"Via Dante Alighieri, 167",Parco di Villa Malfitano
38.1413765,13.3360137,Viale Lazio,Villa Terrasi
38.1326894,13.3504677,"Viale della Libert?, 63",Giardino Inglese
38.1096198,13.3463727,"Corso Calatafimi, 217",Albergo delle Povere
38.1182029,13.3405826,"Via Paolo Gili, 4",Cantieri Culturali alla Zisa - Zona Arti Contemporanee (ZAC)
38.1152018,13.3647759,"Via Sant'Anna, 21",Galleria d'Arte Moderna (G.A.M)
38.1168727,13.3713284,"Via Alloro, 4",Galleria Regionale della Sicilia - Palazzo Abatellis
38.1171671,13.3440297,Piazza Guglielmo il Buono,Museo d'Arte Islamica
38.1178870,13.3681540,Piazza Marina,Villa Garibaldi
38.1207376,13.3570938,Piazza Giuseppe Verdi,Teatro Massimo Vittorio Emanuele
38.1667101,13.3287389,"Via Duca degli Abruzzi,1","Museo Etnografico ""G. Pitr?"""
38.1232298,13.3672562,Via Filippo Patti,Castello a Mare
38.1150128,13.3626443,"Piazza Bellini, 3",Chiesa Santa Maria dell'Ammiraglio (detta Martorana)
38.1304160,13.3467160,"Via Antonio Salinas, 3",Villa Trabia
38.1217732,13.3419946,"Via Dante, 167",Villa Malfitano
38.1056671,13.3344503,Via Francesco Speciale,Villa Napoli
38.1252000,13.3559100,"Piazza Ruggero Settimo, 15",Teatro Politeama Garibaldi
38.1210128,13.3604909,"Piazza Olivella, 24","Museo Archeologico Regionale ""A. Salinas"""
38.1143111,13.3579996,"Via Vittorio Emanuele, 429",Biblioteca Centrale della Regione Siciliana
38.1191886,13.3698605,"Via Vittorio Emanuele, 31",Archivio di Stato
38.1152018,13.3647759,"Via Sant'Anna, 21",Biblioteca della Galleria d'Arte Moderna
38.1135516,13.3694001,"Piazza Magione, 44",Chiesa della SantissimaTrinit? o Magione
38.1081386,13.3425586,"Corso Calatafimi,100",Necropoli Punica
38.1156879,13.3612671,Fondo Picciullo,Qanat Gesuitico Alto
38.1117148,13.3553418,Piazza Vittoria,Resti di case romane Area Archeologica Villa Bonanno
38.1100902,13.3520862,"Piazza Indipendenza, 1",Biblioteca dell'Osservatorio Astronomico
38.1089367,13.3540243,Corso Re Ruggero,Parco d'Orleans
38.1282475,13.3463207,"Via Antonio Salinas, 3",Parco di Villa Trabia
38.1421240,13.3359195,"Viale degli Abruzzi, 1",Citt? dei Ragazzi
38.1056671,13.3344503,Via Francesco Speciale,Giardino di Villa Napoli
38.1613916,13.3253326,"Via dei Quartieri, 2",Parco di Villa Niscemi
38.1145290,13.3748170,Via Lincoln,Villa Giulia
38.1137422,13.3556064,"Via Matteo Bonello, 2",Museo Diocesano
38.1195719,13.3506925,"Piazza Vittorio Emanuele Orlando, 49",Parcheggio Orlando
38.1148185,13.3651950,Piazza Sant'Anna,Chiesa di Sant'Anna La Misericordia
38.1145600,13.3712300,"via dello Spasimo, 35",Spasimo (Chiesa di S. Maria dello Spasimo)
38.1151775,13.3600792,"Via Vittorio Emanuele, 365",Museo d'Arte Contemporanea della Sicilia
38.1150021,13.3626350,"Piazza Bellini, 3",Chiesa di San Cataldo
38.1642960,13.3325140,Piazza Niscemi,Villa Niscemi
38.1681297,13.3289359,"Via Duca degli Abruzzi, 1",Palazzina Cinese
38.1086579,13.3807273,"Via Messina Marine, 32",Eco Museo Urbano (Ex Deposito Locomotive S. Erasmo)
38.1171169,13.3702260,"Via Torremuzza, 6",Teatro Ditirammu
38.1435222,13.3399722,Viale Lazio 5,Biblioteca Comunale Verde Terrasi
38.1190391,13.3618940,"Via Vittorio Emanuele, 25",Loggiato di San Bartolomeo
38.1352827,13.3485344,"Via Libert?, 52",Villa Zito
38.1137008,13.3628078,"Via Maqueda, 157",Archivio Storico Comunale
